Fecha,USD
2021-09-02,97.8333
2021-09-03,97.8683
2021-09-04,97.8683
2021-09-05,97.8683
2021-09-06,97.95
2021-09-07,97.9883
2021-09-08,98.0233
2021-09-09,98.05
2021-09-10,98.0967
2021-09-11,98.0967
2021-09-12,98.0967
2021-09-13,98.2083
2021-09-14,98.22
2021-09-15,98.245
2021-09-16,98.3117
2021-09-17,98.3483
2021-09-18,98.3483
2021-09-19,98.3483
2021-09-20,98.4817
2021-09-21,98.4917
2021-09-22,98.505
2021-09-23,98.5183
2021-09-24,98.56
2021-09-25,98.56
2021-09-26,98.56
2021-09-27,98.6683
2021-09-28,98.6817
2021-09-29,98.705
2021-09-30,98.735
2021-10-01,98.7817
2021-10-02,98.7817
2021-10-03,98.7817
2021-10-04,98.885
2021-10-05,98.9
2021-10-06,98.9217
2021-10-07,98.945
2021-10-08,98.945
2021-10-09,98.945
2021-10-10,98.945
2021-10-11,98.945
2021-10-12,99.1
2021-10-13,99.125
2021-10-14,99.155
2021-10-15,99.185
2021-10-16,99.185
2021-10-17,99.185
2021-10-18,99.275
2021-10-19,99.305
2021-10-20,99.3383
2021-10-21,99.3683
2021-10-22,99.3983
2021-10-23,99.3983
2021-10-24,99.3983
2021-10-25,99.4933
2021-10-26,99.5267
2021-10-27,99.6167
2021-10-28,99.6917
2021-10-29,99.7217
2021-10-30,99.7217
2021-10-31,99.7217
2021-11-01,99.825
2021-11-02,99.8533
2021-11-03,99.9033
2021-11-04,99.9517
2021-11-05,99.9467
2021-11-06,99.9467
2021-11-07,99.9467
2021-11-08,100.05
2021-11-09,100.0983
2021-11-10,100.1433
2021-11-11,100.175
2021-11-12,100.2267
2021-11-13,100.2267
2021-11-14,100.2267
2021-11-15,100.2917
2021-11-16,100.3083
2021-11-17,100.3583
2021-11-18,100.4067
2021-11-19,100.465
2021-11-20,100.465
2021-11-21,100.465
2021-11-22,100.465
2021-11-23,100.595
2021-11-24,100.6233
2021-11-25,100.6833
2021-11-26,100.7583
2021-11-27,100.7583
2021-11-28,100.7583
2021-11-29,100.9233
2021-11-30,100.925
2021-12-01,101.005
2021-12-02,101.07
2021-12-03,101.155
2021-12-04,101.155
2021-12-05,101.155
2021-12-06,101.3233
2021-12-07,101.365
2021-12-08,101.365
2021-12-09,101.5083
2021-12-10,101.58
2021-12-11,101.58
2021-12-12,101.58
2021-12-13,101.725
2021-12-14,101.7733
2021-12-15,101.83
2021-12-16,101.8883
2021-12-17,101.9667
2021-12-18,101.9667
2021-12-19,101.9667
2021-12-20,102.145
2021-12-21,102.2017
2021-12-22,102.2767
2021-12-23,102.33
2021-12-24,102.33
2021-12-25,102.33
2021-12-26,102.33
2021-12-27,102.5667
2021-12-28,102.62
2021-12-29,102.69
2021-12-30,102.75
2021-12-31,102.75
2022-01-01,102.75
2022-01-02,102.75
2022-01-03,103.04
2022-01-04,103.08
2022-01-05,103.15
2022-01-06,103.23
2022-01-07,103.29
2022-01-08,103.29
2022-01-09,103.29
2022-01-10,103.5083
2022-01-11,103.5767
2022-01-12,103.6417
2022-01-13,103.7433
2022-01-14,103.8467
2022-01-15,103.8467
2022-01-16,103.8467
2022-01-17,104.07
2022-01-18,104.1867
2022-01-19,104.2383
2022-01-20,104.3033
2022-01-21,104.3533
2022-01-22,104.3533
2022-01-23,104.3533
2022-01-24,104.5317
2022-01-25,104.6033
2022-01-26,104.6833
2022-01-27,104.7583
2022-01-28,104.8267
2022-01-29,104.8267
2022-01-30,104.8267
2022-01-31,105.015
2022-02-01,105.135
2022-02-02,105.2167
2022-02-03,105.31
2022-02-04,105.415
2022-02-05,105.415
2022-02-06,105.415
2022-02-07,105.695
2022-02-08,105.795
2022-02-09,105.905
2022-02-10,106.005
2022-02-11,106.1133
2022-02-12,106.1133
2022-02-13,106.1133
2022-02-14,106.3917
2022-02-15,106.4767
2022-02-16,106.575
2022-02-17,106.6767
2022-02-18,106.7783
2022-02-19,106.7783
2022-02-20,106.7783
2022-02-21,107.055
2022-02-22,107.1567
2022-02-23,107.3
2022-02-24,107.3933
2022-02-25,107.4417
2022-02-26,107.4417
2022-02-27,107.4417
2022-02-28,107.4417
2022-03-01,107.4417
2022-03-02,107.935
2022-03-03,108.0383
2022-03-04,108.1617
2022-03-05,108.1617
2022-03-06,108.1617
2022-03-07,108.4517
